CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime,
0,5,827,787,0,
43,4,633,593,0,
86,15,589,549,0,
129,14,764,724,0,
172,13,955,915,0,
215,7,422,382,0,
258,7,382,342,0,
301,17,364,324,0,
344,7,342,302,0,
387,8,615,575,0,
430,6,306,266,0,
473,11,942,902,0,
516,7,302,262,0,
559,1,585,545,0,
602,2,972,932,0,
645,10,702,662,0,
688,18,346,306,0,
731,18,306,266,0,
774,17,324,284,0,
817,17,284,244,0,
860,1,545,505,0,
903,4,593,553,0,
946,2,932,892,0,
989,17,244,204,0,
1032,11,902,862,0,
1075,2,892,852,0,
1118,7,262,222,0,
1161,11,862,822,0,
1204,8,575,535,0,
1247,5,787,747,0,
1290,14,724,684,0,
1333,8,535,495,0,
1376,14,684,644,0,
1419,15,549,509,0,
1462,16,103,63,0,
1505,4,553,513,0,
1548,3,992,952,0,
1591,7,222,182,0,
1634,4,513,473,0,
1677,14,644,604,0,
1720,16,63,23,0,
1763,7,182,142,0,
1806,11,822,782,0,
1849,2,852,812,0,
1892,5,747,707,0,
1935,8,495,455,0,
1978,2,812,772,0,
2021,4,473,433,0,
2064,7,142,102,0,
2107,9,695,655,0,
2150,5,707,667,0,
2193,4,433,393,0,
2236,11,782,742,0,
2279,1,505,465,0,
2322,16,23,0,2345,
2348,19,271,231,0,
2391,7,102,62,0,
2434,1,465,425,0,
2477,2,772,732,0,
2520,19,231,191,0,
2563,2,732,692,0,
2606,10,662,622,0,
2649,5,667,627,0,
2692,8,455,415,0,
2735,4,393,353,0,
2778,17,204,164,0,
2821,7,62,22,0,
2864,19,191,151,0,
2907,5,627,587,0,
2950,8,415,375,0,
2993,5,587,547,0,
3036,17,164,124,0,
3079,8,375,335,0,
3122,5,547,507,0,
3165,14,604,564,0,
3208,7,22,0,3230,
3233,17,124,84,0,
3276,10,622,582,0,
3319,17,84,44,0,
3362,6,266,226,0,
3405,5,507,467,0,
3448,9,655,615,0,
3491,5,467,427,0,
3534,12,969,929,0,
3577,6,226,186,0,
3620,12,929,889,0,
3663,5,427,387,0,
3706,4,353,313,0,
3749,12,889,849,0,
3792,18,266,226,0,
3835,17,44,4,0,
3878,18,226,186,0,
3921,11,742,702,0,
3964,12,849,809,0,
4007,17,4,0,4011,
4014,15,509,469,0,
4057,8,335,295,0,
4100,2,692,652,0,
4143,15,469,429,0,
4186,4,313,273,0,
4229,6,186,146,0,
4272,6,146,106,0,
4315,5,387,347,0,
4358,10,582,542,0,
4401,2,652,612,0,
4444,2,612,572,0,
4487,13,915,875,0,
4530,18,186,146,0,
4573,11,702,662,0,
4616,19,151,111,0,
4659,2,572,532,0,
4702,8,295,255,0,
4745,1,425,385,0,
4788,19,111,71,0,
4831,10,542,502,0,
4874,8,255,215,0,
4917,10,502,462,0,
4960,14,564,524,0,
5003,19,71,31,0,
5046,10,462,422,0,
5089,15,429,389,0,
5132,8,215,175,0,
5175,15,389,349,0,
5218,1,385,345,0,
5261,12,809,769,0,
5304,14,524,484,0,
5347,15,349,309,0,
5390,1,345,305,0,
5433,18,146,106,0,
5476,14,484,444,0,
5519,2,532,492,0,
5562,6,106,66,0,
5605,10,422,382,0,
5648,6,66,26,0,
5691,10,382,342,0,
5734,11,662,622,0,
5777,2,492,452,0,
5820,1,305,265,0,
5863,14,444,404,0,
